"faellig";"rueckstandBis";"offenerBetrag";"zahldatum";"art";"belegart_pos";"mahnbelegart";"betrag_pos";"betrag";"belegart";"mahnstufe";"bezugszeitraum_pos";"faelligkeit_monat";"Haben";"offenerBetrag_pos";"bezugszeitraum";"rueckstandVon";
"01.03.2011";"22.04.2016";"1.050,50";"";"HF";"";"Beitrag";"";"1.050,50";"Normaler Beitragsnachweis";"Androhung Vollstreckung";"";"03.2011";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"01.04.2011";"22.04.2016";"1.000,00";"";"HF";"";"Beitrag";"";"1.000,00";"Normaler Beitragsnachweis";"Androhung Vollstreckung";"";"04.2011";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"22.04.2016";"22.04.2016";"10,55";"";"HF";"";"Gebühr";"";"10,55";"Mahngebühr GSV";"Androhung Vollstreckung";"";"04.2016";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"02.03.2011";"22.04.2016";"10,50";"";"NF";"";"Säumniszuschlag";"";"10,50";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"03.2011";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"04.04.2011";"22.04.2016";"10,00";"";"NF";"";"Säumniszuschlag";"";"10,00";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"04.2011";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"04.04.2011";"22.04.2016";"10,50";"";"NF";"";"Säumniszuschlag";"";"10,50";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"04.2011";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"03.05.2011";"22.04.2016";"10,00";"";"NF";"";"Säumniszuschlag";"";"10,00";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"05.2011";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"03.05.2011";"22.04.2016";"10,50";"";"NF";"";"Säumniszuschlag";"";"10,50";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"05.2011";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"03.06.2011";"22.04.2016";"10,00";"";"NF";"";"Säumniszuschlag";"";"10,00";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"06.2011";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"03.06.2011";"22.04.2016";"10,50";"";"NF";"";"Säumniszuschlag";"";"10,50";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"06.2011";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"04.07.2011";"22.04.2016";"10,00";"";"NF";"";"Säumniszuschlag";"";"10,00";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"07.2011";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"04.07.2011";"22.04.2016";"10,50";"";"NF";"";"Säumniszuschlag";"";"10,50";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"07.2011";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"02.08.2011";"22.04.2016";"10,00";"";"NF";"";"Säumniszuschlag";"";"10,00";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"08.2011";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"02.08.2011";"22.04.2016";"10,50";"";"NF";"";"Säumniszuschlag";"";"10,50";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"08.2011";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"02.09.2011";"22.04.2016";"10,00";"";"NF";"";"Säumniszuschlag";"";"10,00";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"09.2011";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"02.09.2011";"22.04.2016";"10,50";"";"NF";"";"Säumniszuschlag";"";"10,50";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"09.2011";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"05.10.2011";"22.04.2016";"10,00";"";"NF";"";"Säumniszuschlag";"";"10,00";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"10.2011";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"05.10.2011";"22.04.2016";"10,50";"";"NF";"";"Säumniszuschlag";"";"10,50";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"10.2011";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"03.11.2011";"22.04.2016";"10,50";"";"NF";"";"Säumniszuschlag";"";"10,50";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"11.2011";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"03.11.2011";"22.04.2016";"10,00";"";"NF";"";"Säumniszuschlag";"";"10,00";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"11.2011";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"02.12.2011";"22.04.2016";"10,50";"";"NF";"";"Säumniszuschlag";"";"10,50";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"12.2011";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"02.12.2011";"22.04.2016";"10,00";"";"NF";"";"Säumniszuschlag";"";"10,00";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"12.2011";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"03.01.2012";"22.04.2016";"10,00";"";"NF";"";"Säumniszuschlag";"";"10,00";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"01.2012";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"03.01.2012";"22.04.2016";"10,50";"";"NF";"";"Säumniszuschlag";"";"10,50";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"01.2012";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"02.02.2012";"22.04.2016";"10,50";"";"NF";"";"Säumniszuschlag";"";"10,50";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"02.2012";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"02.02.2012";"22.04.2016";"10,00";"";"NF";"";"Säumniszuschlag";"";"10,00";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"02.2012";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"02.03.2012";"22.04.2016";"10,50";"";"NF";"";"Säumniszuschlag";"";"10,50";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"03.2012";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"02.03.2012";"22.04.2016";"10,00";"";"NF";"";"Säumniszuschlag";"";"10,00";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"03.2012";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"03.04.2012";"22.04.2016";"10,50";"";"NF";"";"Säumniszuschlag";"";"10,50";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"04.2012";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"03.04.2012";"22.04.2016";"10,00";"";"NF";"";"Säumniszuschlag";"";"10,00";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"04.2012";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"03.05.2012";"22.04.2016";"10,50";"";"NF";"";"Säumniszuschlag";"";"10,50";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"05.2012";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"03.05.2012";"22.04.2016";"10,00";"";"NF";"";"Säumniszuschlag";"";"10,00";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"05.2012";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"04.06.2012";"22.04.2016";"10,50";"";"NF";"";"Säumniszuschlag";"";"10,50";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"06.2012";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"04.06.2012";"22.04.2016";"10,00";"";"NF";"";"Säumniszuschlag";"";"10,00";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"06.2012";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"03.07.2012";"22.04.2016";"10,00";"";"NF";"";"Säumniszuschlag";"";"10,00";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"07.2012";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"03.07.2012";"22.04.2016";"10,50";"";"NF";"";"Säumniszuschlag";"";"10,50";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"07.2012";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"02.08.2012";"22.04.2016";"10,00";"";"NF";"";"Säumniszuschlag";"";"10,00";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"08.2012";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"02.08.2012";"22.04.2016";"10,50";"";"NF";"";"Säumniszuschlag";"";"10,50";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"08.2012";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"04.09.2012";"22.04.2016";"10,00";"";"NF";"";"Säumniszuschlag";"";"10,00";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"09.2012";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"04.09.2012";"22.04.2016";"10,50";"";"NF";"";"Säumniszuschlag";"";"10,50";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"09.2012";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"02.10.2012";"22.04.2016";"10,50";"";"NF";"";"Säumniszuschlag";"";"10,50";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"10.2012";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"02.10.2012";"22.04.2016";"10,00";"";"NF";"";"Säumniszuschlag";"";"10,00";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"10.2012";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"05.11.2012";"22.04.2016";"10,50";"";"NF";"";"Säumniszuschlag";"";"10,50";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"11.2012";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"05.11.2012";"22.04.2016";"10,00";"";"NF";"";"Säumniszuschlag";"";"10,00";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"11.2012";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"04.12.2012";"22.04.2016";"10,50";"";"NF";"";"Säumniszuschlag";"";"10,50";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"12.2012";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"04.12.2012";"22.04.2016";"10,00";"";"NF";"";"Säumniszuschlag";"";"10,00";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"12.2012";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"03.01.2013";"22.04.2016";"10,50";"";"NF";"";"Säumniszuschlag";"";"10,50";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"01.2013";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"03.01.2013";"22.04.2016";"10,00";"";"NF";"";"Säumniszuschlag";"";"10,00";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"01.2013";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"04.02.2013";"22.04.2016";"10,00";"";"NF";"";"Säumniszuschlag";"";"10,00";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"02.2013";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"04.02.2013";"22.04.2016";"10,50";"";"NF";"";"Säumniszuschlag";"";"10,50";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"02.2013";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"04.03.2013";"22.04.2016";"10,00";"";"NF";"";"Säumniszuschlag";"";"10,00";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"03.2013";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"04.03.2013";"22.04.2016";"10,50";"";"NF";"";"Säumniszuschlag";"";"10,50";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"03.2013";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"03.04.2013";"22.04.2016";"10,00";"";"NF";"";"Säumniszuschlag";"";"10,00";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"04.2013";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"03.04.2013";"22.04.2016";"10,50";"";"NF";"";"Säumniszuschlag";"";"10,50";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"04.2013";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"03.05.2013";"22.04.2016";"10,00";"";"NF";"";"Säumniszuschlag";"";"10,00";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"05.2013";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"03.05.2013";"22.04.2016";"10,50";"";"NF";"";"Säumniszuschlag";"";"10,50";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"05.2013";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"04.06.2013";"22.04.2016";"10,00";"";"NF";"";"Säumniszuschlag";"";"10,00";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"06.2013";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"04.06.2013";"22.04.2016";"10,50";"";"NF";"";"Säumniszuschlag";"";"10,50";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"06.2013";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"02.07.2013";"22.04.2016";"10,00";"";"NF";"";"Säumniszuschlag";"";"10,00";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"07.2013";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"02.07.2013";"22.04.2016";"10,50";"";"NF";"";"Säumniszuschlag";"";"10,50";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"07.2013";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"02.08.2013";"22.04.2016";"10,00";"";"NF";"";"Säumniszuschlag";"";"10,00";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"08.2013";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
"02.08.2013";"22.04.2016";"10,50";"";"NF";"";"Säumniszuschlag";"";"10,50";"Säumniszuschlag GSV";"Androhung Vollstreckung";"";"08.2013";"0,00";"";"22.04.2016 - 22.04.2016";"22.04.2016";
